,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
0,5/27/2017 11:44 AM,700 E Russell Dr.,Citizen request for UCPD Response,African American,Male,Subject matched description of suspicious person reported by UCMC staff,Name checked; released; no further action,No
1,No field interviews for 05/28/2017,No field interviews for 05/28/2017,No field interviews for 05/28/2017,No field interviews for 05/28/2017,No field interviews for 05/28/2017,No field interviews for 05/28/2017,No field interviews for 05/28/2017,No field interviews for 05/28/2017
2,No field interviews for 05/29/2017,No field interviews for 05/29/2017,No field interviews for 05/29/2017,No field interviews for 05/29/2017,No field interviews for 05/29/2017,No field interviews for 05/29/2017,No field interviews for 05/29/2017,No field interviews for 05/29/2017
3,No field interviews for 05/30/2017,No field interviews for 05/30/2017,No field interviews for 05/30/2017,No field interviews for 05/30/2017,No field interviews for 05/30/2017,No field interviews for 05/30/2017,No field interviews for 05/30/2017,No field interviews for 05/30/2017
4,No field interviews for 05/31/2017,No field interviews for 05/31/2017,No field interviews for 05/31/2017,No field interviews for 05/31/2017,No field interviews for 05/31/2017,No field interviews for 05/31/2017,No field interviews for 05/31/2017,No field interviews for 05/31/2017
0,No field interviews for 06/01/2017,No field interviews for 06/01/2017,No field interviews for 06/01/2017,No field interviews for 06/01/2017,No field interviews for 06/01/2017,No field interviews for 06/01/2017,No field interviews for 06/01/2017,No field interviews for 06/01/2017
1,No field interviews for 06/02/2017,No field interviews for 06/02/2017,No field interviews for 06/02/2017,No field interviews for 06/02/2017,No field interviews for 06/02/2017,No field interviews for 06/02/2017,No field interviews for 06/02/2017,No field interviews for 06/02/2017
2,No field interviews for 06/03/2017,No field interviews for 06/03/2017,No field interviews for 06/03/2017,No field interviews for 06/03/2017,No field interviews for 06/03/2017,No field interviews for 06/03/2017,No field interviews for 06/03/2017,No field interviews for 06/03/2017
3,No field interviews for 06/04/2017,No field interviews for 06/04/2017,No field interviews for 06/04/2017,No field interviews for 06/04/2017,No field interviews for 06/04/2017,No field interviews for 06/04/2017,No field interviews for 06/04/2017,No field interviews for 06/04/2017
4,No field interviews for 06/05/2017,No field interviews for 06/05/2017,No field interviews for 06/05/2017,No field interviews for 06/05/2017,No field interviews for 06/05/2017,No field interviews for 06/05/2017,No field interviews for 06/05/2017,No field interviews for 06/05/2017
0,No field interviews to report for 06-06-2017.,No field interviews to report for 06-06-2017.,No field interviews to report for 06-06-2017.,No field interviews to report for 06-06-2017.,No field interviews to report for 06-06-2017.,No field interviews to report for 06-06-2017.,No field interviews to report for 06-06-2017.,No field interviews to report for 06-06-2017.
1,No field interviews for 06/07/2017,No field interviews for 06/07/2017,No field interviews for 06/07/2017,No field interviews for 06/07/2017,No field interviews for 06/07/2017,No field interviews for 06/07/2017,No field interviews for 06/07/2017,No field interviews for 06/07/2017
2,6/8/2017 3:05 PM,4700 S Lake Park,UCPD,African American,Male,Subject obstructing traffic on a roadway,Name checked; released; no further action,No
3,No field interviews for 06/09/2017,No field interviews for 06/09/2017,No field interviews for 06/09/2017,No field interviews for 06/09/2017,No field interviews for 06/09/2017,No field interviews for 06/09/2017,No field interviews for 06/09/2017,No field interviews for 06/09/2017
4,No field interviews for 06/10/2017,No field interviews for 06/10/2017,No field interviews for 06/10/2017,No field interviews for 06/10/2017,No field interviews for 06/10/2017,No field interviews for 06/10/2017,No field interviews for 06/10/2017,No field interviews for 06/10/2017
0,No field interviews for 06/11/2017,No field interviews for 06/11/2017,No field interviews for 06/11/2017,No field interviews for 06/11/2017,No field interviews for 06/11/2017,No field interviews for 06/11/2017,No field interviews for 06/11/2017,No field interviews for 06/11/2017
1,6/13/2017 2:11 AM,5100 S Harper,UCPD,Caucasian,Male,Well being check,Name checked; released; no further action,Yes
2,No field interviews for 06/13/2017,No field interviews for 06/13/2017,No field interviews for 06/13/2017,No field interviews for 06/13/2017,No field interviews for 06/13/2017,No field interviews for 06/13/2017,No field interviews for 06/13/2017,No field interviews for 06/13/2017
3,No field interviews for 06/14/2017,No field interviews for 06/14/2017,No field interviews for 06/14/2017,No field interviews for 06/14/2017,No field interviews for 06/14/2017,No field interviews for 06/14/2017,No field interviews for 06/14/2017,No field interviews for 06/14/2017
4,No field interviews for 06/15/2017,No field interviews for 06/15/2017,No field interviews for 06/15/2017,No field interviews for 06/15/2017,No field interviews for 06/15/2017,No field interviews for 06/15/2017,No field interviews for 06/15/2017,No field interviews for 06/15/2017
0,No field interviews to report for 06-16-2017.,No field interviews to report for 06-16-2017.,No field interviews to report for 06-16-2017.,No field interviews to report for 06-16-2017.,No field interviews to report for 06-16-2017.,No field interviews to report for 06-16-2017.,No field interviews to report for 06-16-2017.,No field interviews to report for 06-16-2017.
1,No field interviews to report for 06-17-2017.,No field interviews to report for 06-17-2017.,No field interviews to report for 06-17-2017.,No field interviews to report for 06-17-2017.,No field interviews to report for 06-17-2017.,No field interviews to report for 06-17-2017.,No field interviews to report for 06-17-2017.,No field interviews to report for 06-17-2017.
2,No field interviews to report for 06-18-2017.,No field interviews to report for 06-18-2017.,No field interviews to report for 06-18-2017.,No field interviews to report for 06-18-2017.,No field interviews to report for 06-18-2017.,No field interviews to report for 06-18-2017.,No field interviews to report for 06-18-2017.,No field interviews to report for 06-18-2017.
3,No field interviews for 06/19/2017,No field interviews for 06/19/2017,No field interviews for 06/19/2017,No field interviews for 06/19/2017,No field interviews for 06/19/2017,No field interviews for 06/19/2017,No field interviews for 06/19/2017,No field interviews for 06/19/2017
4,No field interviews to report for 06-20-2017.,No field interviews to report for 06-20-2017.,No field interviews to report for 06-20-2017.,No field interviews to report for 06-20-2017.,No field interviews to report for 06-20-2017.,No field interviews to report for 06-20-2017.,No field interviews to report for 06-20-2017.,No field interviews to report for 06-20-2017.
0,No field interviews for 06/21/2017,No field interviews for 06/21/2017,No field interviews for 06/21/2017,No field interviews for 06/21/2017,No field interviews for 06/21/2017,No field interviews for 06/21/2017,No field interviews for 06/21/2017,No field interviews for 06/21/2017
1,No field interviews for 06/22/2017,No field interviews for 06/22/2017,No field interviews for 06/22/2017,No field interviews for 06/22/2017,No field interviews for 06/22/2017,No field interviews for 06/22/2017,No field interviews for 06/22/2017,No field interviews for 06/22/2017
2,No field interviews for 06/23/2017,No field interviews for 06/23/2017,No field interviews for 06/23/2017,No field interviews for 06/23/2017,No field interviews for 06/23/2017,No field interviews for 06/23/2017,No field interviews for 06/23/2017,No field interviews for 06/23/2017
3,No field interviews for 06/24/2017,No field interviews for 06/24/2017,No field interviews for 06/24/2017,No field interviews for 06/24/2017,No field interviews for 06/24/2017,No field interviews for 06/24/2017,No field interviews for 06/24/2017,No field interviews for 06/24/2017
4,No field interviews for 06/26/2017,No field interviews for 06/26/2017,No field interviews for 06/26/2017,No field interviews for 06/26/2017,No field interviews for 06/26/2017,No field interviews for 06/26/2017,No field interviews for 06/26/2017,No field interviews for 06/26/2017
0,No field interviews for 06/27/2017,No field interviews for 06/27/2017,No field interviews for 06/27/2017,No field interviews for 06/27/2017,No field interviews for 06/27/2017,No field interviews for 06/27/2017,No field interviews for 06/27/2017,No field interviews for 06/27/2017
1,No field interviews for 06/28/2017,No field interviews for 06/28/2017,No field interviews for 06/28/2017,No field interviews for 06/28/2017,No field interviews for 06/28/2017,No field interviews for 06/28/2017,No field interviews for 06/28/2017,No field interviews for 06/28/2017
2,6/29/2017 5:44 PM,1154 E 54th,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
3,6/29/2017 6:26 PM,1226 E 53rd,Citizen request for UCPD Response,African American,Male,Witness observed juveniles throwing objects at a car,Name checked; released to parents; no further acti,No
4,6/29/2017 6:26 PM,1226 E 53rd,Citizen request for UCPD Response,African American,Male,Witness observed juveniles throwing objects at a car,Name checked; released to parents; no further acti,No
0,6/29/2017 6:26 PM,1226 E 53rd,Citizen request for UCPD Response,African American,Male,Witness observed juveniles throwing objects at a car,Name checked; released to parents; no further acti,No
1,6/29/2017 6:26 PM,1226 E 53rd,Citizen request for UCPD Response,African American,Male,Witness observed juveniles throwing objects at a car,Name checked; released to parents; no further acti,No
2,No field interviews for 06/30/2017,No field interviews for 06/30/2017,No field interviews for 06/30/2017,No field interviews for 06/30/2017,No field interviews for 06/30/2017,No field interviews for 06/30/2017,No field interviews for 06/30/2017,No field interviews for 06/30/2017
3,7/1/2017 11:02 AM,5721 S Maryland,Citizen request for UCPD Response,African American,Male,Domestic disturbance,Name checked; released; no further action,No
4,7/2/2017 3:14 AM,5300 S Kimbark,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
0,7/2/2017 3:14 AM,5300 S Kimbark,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
1,No field interviews for 07/03/2017,No field interviews for 07/03/2017,No field interviews for 07/03/2017,No field interviews for 07/03/2017,No field interviews for 07/03/2017,No field interviews for 07/03/2017,No field interviews for 07/03/2017,No field interviews for 07/03/2017
2,7/4/2017 7:03 PM,5200 S Harper,Citizen request for UCPD Response,African American,Male,Subject in possession of fireworks in high pedestrian area,Name checked; released to parent; no further actio,No
3,7/4/2017 7:03 PM,5200 S Harper,Citizen request for UCPD Response,African American,Male,Subject in possession of fireworks in high pedestrian area,Name checked; released to parent; no further actio,No
4,7/4/2017 7:03 PM,5200 S Harper,Citizen request for UCPD Response,African American,Male,Subject in possession of fireworks in high pedestrian area,Name checked; released to parent; no further actio,No
0,7/4/2017 7:21 PM,5310 S Harper,UCPD,African American,Male,Subject in possession of fireworks in high pedestrian area,Name checked; released to parent; no further actio,Yes
1,7/4/2017 9:15 PM,5300 S Harper,UCPD,African American,Male,Subject in possession of fireworks in high pedestrian area,Name checked; released to grandparent; no further,No
2,No field interviews for 07/05/2017,No field interviews for 07/05/2017,No field interviews for 07/05/2017,No field interviews for 07/05/2017,No field interviews for 07/05/2017,No field interviews for 07/05/2017,No field interviews for 07/05/2017,No field interviews for 07/05/2017
3,No field interviews for 07/06/2017,No field interviews for 07/06/2017,No field interviews for 07/06/2017,No field interviews for 07/06/2017,No field interviews for 07/06/2017,No field interviews for 07/06/2017,No field interviews for 07/06/2017,No field interviews for 07/06/2017
4,No field interviews for 07/07/2017,No field interviews for 07/07/2017,No field interviews for 07/07/2017,No field interviews for 07/07/2017,No field interviews for 07/07/2017,No field interviews for 07/07/2017,No field interviews for 07/07/2017,No field interviews for 07/07/2017
0,No field interviews for 07/08/2017,No field interviews for 07/08/2017,No field interviews for 07/08/2017,No field interviews for 07/08/2017,No field interviews for 07/08/2017,No field interviews for 07/08/2017,No field interviews for 07/08/2017,No field interviews for 07/08/2017
1,No field interviews for 07/09/2017,No field interviews for 07/09/2017,No field interviews for 07/09/2017,No field interviews for 07/09/2017,No field interviews for 07/09/2017,No field interviews for 07/09/2017,No field interviews for 07/09/2017,No field interviews for 07/09/2017
2,No field interviews for 07/10/2017,No field interviews for 07/10/2017,No field interviews for 07/10/2017,No field interviews for 07/10/2017,No field interviews for 07/10/2017,No field interviews for 07/10/2017,No field interviews for 07/10/2017,No field interviews for 07/10/2017
3,No field interviews for 07/11/2017,No field interviews for 07/11/2017,No field interviews for 07/11/2017,No field interviews for 07/11/2017,No field interviews for 07/11/2017,No field interviews for 07/11/2017,No field interviews for 07/11/2017,No field interviews for 07/11/2017
4,No field interviews for 07/12/2017,No field interviews for 07/12/2017,No field interviews for 07/12/2017,No field interviews for 07/12/2017,No field interviews for 07/12/2017,No field interviews for 07/12/2017,No field interviews for 07/12/2017,No field interviews for 07/12/2017
0,No field interviews to report for 07-13-2017.,No field interviews to report for 07-13-2017.,No field interviews to report for 07-13-2017.,No field interviews to report for 07-13-2017.,No field interviews to report for 07-13-2017.,No field interviews to report for 07-13-2017.,No field interviews to report for 07-13-2017.,No field interviews to report for 07-13-2017.
1,No field interviews for 07/14/2017,No field interviews for 07/14/2017,No field interviews for 07/14/2017,No field interviews for 07/14/2017,No field interviews for 07/14/2017,No field interviews for 07/14/2017,No field interviews for 07/14/2017,No field interviews for 07/14/2017
2,No field interviews for 07/15/2017,No field interviews for 07/15/2017,No field interviews for 07/15/2017,No field interviews for 07/15/2017,No field interviews for 07/15/2017,No field interviews for 07/15/2017,No field interviews for 07/15/2017,No field interviews for 07/15/2017
3,No field interviews for 07/16/2017,No field interviews for 07/16/2017,No field interviews for 07/16/2017,No field interviews for 07/16/2017,No field interviews for 07/16/2017,No field interviews for 07/16/2017,No field interviews for 07/16/2017,No field interviews for 07/16/2017
4,No field interviews for 07/17/2017,No field interviews for 07/17/2017,No field interviews for 07/17/2017,No field interviews for 07/17/2017,No field interviews for 07/17/2017,No field interviews for 07/17/2017,No field interviews for 07/17/2017,No field interviews for 07/17/2017
0,No field interviews for 07/18/2017,No field interviews for 07/18/2017,No field interviews for 07/18/2017,No field interviews for 07/18/2017,No field interviews for 07/18/2017,No field interviews for 07/18/2017,No field interviews for 07/18/2017,No field interviews for 07/18/2017
1,No field interviews for 07/19/2017,No field interviews for 07/19/2017,No field interviews for 07/19/2017,No field interviews for 07/19/2017,No field interviews for 07/19/2017,No field interviews for 07/19/2017,No field interviews for 07/19/2017,No field interviews for 07/19/2017
2,7/21/2017 1:41 AM,5730 S Drexel,Citizen request for UCPD Response,African American,Male,Disorderly conduct,Name checked; released; no further action,No
3,No field interviews for 07/21/2017,No field interviews for 07/21/2017,No field interviews for 07/21/2017,No field interviews for 07/21/2017,No field interviews for 07/21/2017,No field interviews for 07/21/2017,No field interviews for 07/21/2017,No field interviews for 07/21/2017
4,No field interviews for 07/22/2017,No field interviews for 07/22/2017,No field interviews for 07/22/2017,No field interviews for 07/22/2017,No field interviews for 07/22/2017,No field interviews for 07/22/2017,No field interviews for 07/22/2017,No field interviews for 07/22/2017
0,No field interviews for 07/23/2017,No field interviews for 07/23/2017,No field interviews for 07/23/2017,No field interviews for 07/23/2017,No field interviews for 07/23/2017,No field interviews for 07/23/2017,No field interviews for 07/23/2017,No field interviews for 07/23/2017
1,No field interviews for 07/24/2017,No field interviews for 07/24/2017,No field interviews for 07/24/2017,No field interviews for 07/24/2017,No field interviews for 07/24/2017,No field interviews for 07/24/2017,No field interviews for 07/24/2017,No field interviews for 07/24/2017
2,7/25/2017 10:37 AM,1320 E 58th,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
3,No field interviews for 07/26/2017,No field interviews for 07/26/2017,No field interviews for 07/26/2017,No field interviews for 07/26/2017,No field interviews for 07/26/2017,No field interviews for 07/26/2017,No field interviews for 07/26/2017,No field interviews for 07/26/2017
4,No field interviews for 07/27/2017,No field interviews for 07/27/2017,No field interviews for 07/27/2017,No field interviews for 07/27/2017,No field interviews for 07/27/2017,No field interviews for 07/27/2017,No field interviews for 07/27/2017,No field interviews for 07/27/2017
0,No field interviews for 07/28/2017,No field interviews for 07/28/2017,No field interviews for 07/28/2017,No field interviews for 07/28/2017,No field interviews for 07/28/2017,No field interviews for 07/28/2017,No field interviews for 07/28/2017,No field interviews for 07/28/2017
1,No field interviews for 07/29/2017,No field interviews for 07/29/2017,No field interviews for 07/29/2017,No field interviews for 07/29/2017,No field interviews for 07/29/2017,No field interviews for 07/29/2017,No field interviews for 07/29/2017,No field interviews for 07/29/2017
2,No field interviews for 07/30/2017,No field interviews for 07/30/2017,No field interviews for 07/30/2017,No field interviews for 07/30/2017,No field interviews for 07/30/2017,No field interviews for 07/30/2017,No field interviews for 07/30/2017,No field interviews for 07/30/2017
3,7/31/2017 12:55 PM,970 E 58th,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
4,No field interviews to report for 08-01-2017.,No field interviews to report for 08-01-2017.,No field interviews to report for 08-01-2017.,No field interviews to report for 08-01-2017.,No field interviews to report for 08-01-2017.,No field interviews to report for 08-01-2017.,No field interviews to report for 08-01-2017.,No field interviews to report for 08-01-2017.
0,No field interviews for 08/02/2017,No field interviews for 08/02/2017,No field interviews for 08/02/2017,No field interviews for 08/02/2017,No field interviews for 08/02/2017,No field interviews for 08/02/2017,No field interviews for 08/02/2017,No field interviews for 08/02/2017
1,No field interviews for 08/03/2017,No field interviews for 08/03/2017,No field interviews for 08/03/2017,No field interviews for 08/03/2017,No field interviews for 08/03/2017,No field interviews for 08/03/2017,No field interviews for 08/03/2017,No field interviews for 08/03/2017
2,8/4/2017 9:30 PM,5444 S Woodlawn,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
3,No field interviews for 08/05/2017,No field interviews for 08/05/2017,No field interviews for 08/05/2017,No field interviews for 08/05/2017,No field interviews for 08/05/2017,No field interviews for 08/05/2017,No field interviews for 08/05/2017,No field interviews for 08/05/2017
4,No field interviews for 08/06/2017,No field interviews for 08/06/2017,No field interviews for 08/06/2017,No field interviews for 08/06/2017,No field interviews for 08/06/2017,No field interviews for 08/06/2017,No field interviews for 08/06/2017,No field interviews for 08/06/2017
0,No field interviews for 08/07/2017,No field interviews for 08/07/2017,No field interviews for 08/07/2017,No field interviews for 08/07/2017,No field interviews for 08/07/2017,No field interviews for 08/07/2017,No field interviews for 08/07/2017,No field interviews for 08/07/2017
1,No field interviews for 08/08/2017,No field interviews for 08/08/2017,No field interviews for 08/08/2017,No field interviews for 08/08/2017,No field interviews for 08/08/2017,No field interviews for 08/08/2017,No field interviews for 08/08/2017,No field interviews for 08/08/2017
2,No field interviews for 08/09/2017,No field interviews for 08/09/2017,No field interviews for 08/09/2017,No field interviews for 08/09/2017,No field interviews for 08/09/2017,No field interviews for 08/09/2017,No field interviews for 08/09/2017,No field interviews for 08/09/2017
3,No field interviews for 08/10/2017,No field interviews for 08/10/2017,No field interviews for 08/10/2017,No field interviews for 08/10/2017,No field interviews for 08/10/2017,No field interviews for 08/10/2017,No field interviews for 08/10/2017,No field interviews for 08/10/2017
4,No field interviews for 08/11/2017,No field interviews for 08/11/2017,No field interviews for 08/11/2017,No field interviews for 08/11/2017,No field interviews for 08/11/2017,No field interviews for 08/11/2017,No field interviews for 08/11/2017,No field interviews for 08/11/2017
0,No field interviews for 08/12/2017,No field interviews for 08/12/2017,No field interviews for 08/12/2017,No field interviews for 08/12/2017,No field interviews for 08/12/2017,No field interviews for 08/12/2017,No field interviews for 08/12/2017,No field interviews for 08/12/2017
1,No field interviews for 08/13/2017,No field interviews for 08/13/2017,No field interviews for 08/13/2017,No field interviews for 08/13/2017,No field interviews for 08/13/2017,No field interviews for 08/13/2017,No field interviews for 08/13/2017,No field interviews for 08/13/2017
2,8/14/2017 8:13 AM,5338 Drexel,UCPD,African American,Male,Suspicious person in alley,Name checked; released; no further action,No
3,No field interviews for 08/15/2017,No field interviews for 08/15/2017,No field interviews for 08/15/2017,No field interviews for 08/15/2017,No field interviews for 08/15/2017,No field interviews for 08/15/2017,No field interviews for 08/15/2017,No field interviews for 08/15/2017
4,No field interviews for 08/16/2017,No field interviews for 08/16/2017,No field interviews for 08/16/2017,No field interviews for 08/16/2017,No field interviews for 08/16/2017,No field interviews for 08/16/2017,No field interviews for 08/16/2017,No field interviews for 08/16/2017
0,No field interviews for 08/17/2017,No field interviews for 08/17/2017,No field interviews for 08/17/2017,No field interviews for 08/17/2017,No field interviews for 08/17/2017,No field interviews for 08/17/2017,No field interviews for 08/17/2017,No field interviews for 08/17/2017
1,8/18/2017 3:54 PM,6100 Kenwood,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
2,No field interviews for 08/19/2017,No field interviews for 08/19/2017,No field interviews for 08/19/2017,No field interviews for 08/19/2017,No field interviews for 08/19/2017,No field interviews for 08/19/2017,No field interviews for 08/19/2017,No field interviews for 08/19/2017
3,No field interviews for 08/20/2017,No field interviews for 08/20/2017,No field interviews for 08/20/2017,No field interviews for 08/20/2017,No field interviews for 08/20/2017,No field interviews for 08/20/2017,No field interviews for 08/20/2017,No field interviews for 08/20/2017
4,No field interviews for 08/21/2017,No field interviews for 08/21/2017,No field interviews for 08/21/2017,No field interviews for 08/21/2017,No field interviews for 08/21/2017,No field interviews for 08/21/2017,No field interviews for 08/21/2017,No field interviews for 08/21/2017
0,No field interviews for 08/22/2017,No field interviews for 08/22/2017,No field interviews for 08/22/2017,No field interviews for 08/22/2017,No field interviews for 08/22/2017,No field interviews for 08/22/2017,No field interviews for 08/22/2017,No field interviews for 08/22/2017
1,No field interviews for 08/23/2017,No field interviews for 08/23/2017,No field interviews for 08/23/2017,No field interviews for 08/23/2017,No field interviews for 08/23/2017,No field interviews for 08/23/2017,No field interviews for 08/23/2017,No field interviews for 08/23/2017
2,There are no field interviews to report for 08-24-,,,,,,,
3,There are no field interviews to report for 08-25-,,,,,,,
4,There are no field interviews to report for 08-26-,,,,,,,
0,There are no field interviews to report for 08-27-,,,,,,,
1,8/28/2017 12:41 PM,5900 S. UNIVERSITY,Citizen request for UCPD Response,African American,Male,Subject was observed pulling on vehicle door handles,Name checked; released; no further action,No
2,There are no field interviews to report for 8-29-2,,,,,,,
3,There are no field interviews to report for 8-30-2,,,,,,,
4,There are no field interviews to report for 9-1-20,,,,,,,
0,There are no field interviews to report for 9-2-20,,,,,,,
1,9/3/2017 3:00 PM,5445 S. Ingleside,Citizen request for UCPD Response,African American,Male,Subject was observed pulling on vehicle door handles,Name checked; released; no further action,No
2,There were no field interviews to report for 9-4-2,,,,,,,
3,No field interviews for 09/05/2017,No field interviews for 09/05/2017,No field interviews for 09/05/2017,No field interviews for 09/05/2017,No field interviews for 09/05/2017,No field interviews for 09/05/2017,No field interviews for 09/05/2017,No field interviews for 09/05/2017
4,There were no field interviews to report for 9-6-2,,,,,,,
0,No field interviews for 09/07/2017,No field interviews for 09/07/2017,No field interviews for 09/07/2017,No field interviews for 09/07/2017,No field interviews for 09/07/2017,No field interviews for 09/07/2017,No field interviews for 09/07/2017,No field interviews for 09/07/2017
1,No field interviews for 09/08/2017,No field interviews for 09/08/2017,No field interviews for 09/08/2017,No field interviews for 09/08/2017,No field interviews for 09/08/2017,No field interviews for 09/08/2017,No field interviews for 09/08/2017,No field interviews for 09/08/2017
2,No field interviews for 09/09/2017,No field interviews for 09/09/2017,No field interviews for 09/09/2017,No field interviews for 09/09/2017,No field interviews for 09/09/2017,No field interviews for 09/09/2017,No field interviews for 09/09/2017,No field interviews for 09/09/2017
3,No field interviews for 09/10/2017,No field interviews for 09/10/2017,No field interviews for 09/10/2017,No field interviews for 09/10/2017,No field interviews for 09/10/2017,No field interviews for 09/10/2017,No field interviews for 09/10/2017,No field interviews for 09/10/2017
4,No field interviews for 09/11/2017,No field interviews for 09/11/2017,No field interviews for 09/11/2017,No field interviews for 09/11/2017,No field interviews for 09/11/2017,No field interviews for 09/11/2017,No field interviews for 09/11/2017,No field interviews for 09/11/2017
0,No field interviews for 09/12/2017,No field interviews for 09/12/2017,No field interviews for 09/12/2017,No field interviews for 09/12/2017,No field interviews for 09/12/2017,No field interviews for 09/12/2017,No field interviews for 09/12/2017,No field interviews for 09/12/2017
1,No field interviews for 09/13/2017,No field interviews for 09/13/2017,No field interviews for 09/13/2017,No field interviews for 09/13/2017,No field interviews for 09/13/2017,No field interviews for 09/13/2017,No field interviews for 09/13/2017,No field interviews for 09/13/2017
2,No field interviews for 09/14/2017,No field interviews for 09/14/2017,No field interviews for 09/14/2017,No field interviews for 09/14/2017,No field interviews for 09/14/2017,No field interviews for 09/14/2017,No field interviews for 09/14/2017,No field interviews for 09/14/2017
3,9/15/2017 1:37 PM,6000 Cottage Grove,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; referred to CPD,Yes
4,9/15/2017 1:37 PM,6000 Cottage Grove,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; referred to CPD,No
0,No field interviews for 09/16/2017,No field interviews for 09/16/2017,No field interviews for 09/16/2017,No field interviews for 09/16/2017,No field interviews for 09/16/2017,No field interviews for 09/16/2017,No field interviews for 09/16/2017,No field interviews for 09/16/2017
1,No field interviews for 09/18/2017,No field interviews for 09/18/2017,No field interviews for 09/18/2017,No field interviews for 09/18/2017,No field interviews for 09/18/2017,No field interviews for 09/18/2017,No field interviews for 09/18/2017,No field interviews for 09/18/2017
2,No field interviews for 09/19/2017,No field interviews for 09/19/2017,No field interviews for 09/19/2017,No field interviews for 09/19/2017,No field interviews for 09/19/2017,No field interviews for 09/19/2017,No field interviews for 09/19/2017,No field interviews for 09/19/2017
3,No field interviews for 09/20/2017,No field interviews for 09/20/2017,No field interviews for 09/20/2017,No field interviews for 09/20/2017,No field interviews for 09/20/2017,No field interviews for 09/20/2017,No field interviews for 09/20/2017,No field interviews for 09/20/2017
4,No field interviews for 09/21/2017,No field interviews for 09/21/2017,No field interviews for 09/21/2017,No field interviews for 09/21/2017,No field interviews for 09/21/2017,No field interviews for 09/21/2017,No field interviews for 09/21/2017,No field interviews for 09/21/2017
0,No field interviews for 09/22/2017,No field interviews for 09/22/2017,No field interviews for 09/22/2017,No field interviews for 09/22/2017,No field interviews for 09/22/2017,No field interviews for 09/22/2017,No field interviews for 09/22/2017,No field interviews for 09/22/2017
1,No field interviews for 09/23/2017,No field interviews for 09/23/2017,No field interviews for 09/23/2017,No field interviews for 09/23/2017,No field interviews for 09/23/2017,No field interviews for 09/23/2017,No field interviews for 09/23/2017,No field interviews for 09/23/2017
2,No field interviews for 09/24/2017,No field interviews for 09/24/2017,No field interviews for 09/24/2017,No field interviews for 09/24/2017,No field interviews for 09/24/2017,No field interviews for 09/24/2017,No field interviews for 09/24/2017,No field interviews for 09/24/2017
3,There were no field interviews to report for 9-25-,,,,,,,
4,No field interviews for 09/26/2017,No field interviews for 09/26/2017,No field interviews for 09/26/2017,No field interviews for 09/26/2017,No field interviews for 09/26/2017,No field interviews for 09/26/2017,No field interviews for 09/26/2017,No field interviews for 09/26/2017
0,No field interviews for 09/27/2017,No field interviews for 09/27/2017,No field interviews for 09/27/2017,No field interviews for 09/27/2017,No field interviews for 09/27/2017,No field interviews for 09/27/2017,No field interviews for 09/27/2017,No field interviews for 09/27/2017
1,No field interviews for 09/28/2017,No field interviews for 09/28/2017,No field interviews for 09/28/2017,No field interviews for 09/28/2017,No field interviews for 09/28/2017,No field interviews for 09/28/2017,No field interviews for 09/28/2017,No field interviews for 09/28/2017
2,No field interviews for 09/29/2017,No field interviews for 09/29/2017,No field interviews for 09/29/2017,No field interviews for 09/29/2017,No field interviews for 09/29/2017,No field interviews for 09/29/2017,No field interviews for 09/29/2017,No field interviews for 09/29/2017
3,9/30/2017 6:38 PM,1400 E 53rd,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
4,9/30/2017 6:38 PM,1400 E 53rd,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
0,10/1/2017 6:18 PM,1203 E 50th,UCPD,African American,Male,"Subject going door to door, trespassing on private property",Name checked; released; no further action,No
1,No field interviews for 10/02/2017,No field interviews for 10/02/2017,No field interviews for 10/02/2017,No field interviews for 10/02/2017,No field interviews for 10/02/2017,No field interviews for 10/02/2017,No field interviews for 10/02/2017,No field interviews for 10/02/2017
2,No field interviews for 10/03/2017,No field interviews for 10/03/2017,No field interviews for 10/03/2017,No field interviews for 10/03/2017,No field interviews for 10/03/2017,No field interviews for 10/03/2017,No field interviews for 10/03/2017,No field interviews for 10/03/2017
3,No field interviews for 10/04/2017,No field interviews for 10/04/2017,No field interviews for 10/04/2017,No field interviews for 10/04/2017,No field interviews for 10/04/2017,No field interviews for 10/04/2017,No field interviews for 10/04/2017,No field interviews for 10/04/2017
4,10/5/2017 9:28 AM,5478 Greenwood,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
0,There were no field interviews to report for 10-06,,,,,,,
1,10/7/2017 7:28 PM,1346 E. 53rd,Citizen request for UCPD Response,African American,Male,Suspicious Person,Name checked; released; no further action,No
2,There were no field interviews to report on 10-08-,,,,,,,
