,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
4,6/23/2015 3:58 PM,5300 S. Harper,Citizen request for UCPD Response,African American,Male,Indecent Exposure,Name checked release no further action,No
0,No field interviews for 06/24/2015,No field interviews for 06/24/2015,No field interviews for 06/24/2015,No field interviews for 06/24/2015,No field interviews for 06/24/2015,No field interviews for 06/24/2015,No field interviews for 06/24/2015,No field interviews for 06/24/2015
1,6/25/2015 11:20 PM,5500 Woodlawn,Citizen request for UCPD Response,African American,Male,Subject matched the description of robbery offender,Released; no further action,Yes
2,6/26/2015 1:22 AM,5545 Woodlawn,UCPD,African American,Male,Subject observed opening door of a car which was not his.,Released; no further action,Yes
3,No field interviews for 06/26/2015,No field interviews for 06/26/2015,No field interviews for 06/26/2015,No field interviews for 06/26/2015,No field interviews for 06/26/2015,No field interviews for 06/26/2015,No field interviews for 06/26/2015,No field interviews for 06/26/2015
4,6/27/2015 8:29 PM,1554 E 55th,Citizen request for UCPD Response,African American,Male,Subject advised that he was suicidal,Name checked; referred to CFD,Yes
0,No field interviews for 06/28/2015,No field interviews for 06/28/2015,No field interviews for 06/28/2015,No field interviews for 06/28/2015,No field interviews for 06/28/2015,No field interviews for 06/28/2015,No field interviews for 06/28/2015,No field interviews for 06/28/2015
1,No field interviews for 06/29/2015,No field interviews for 06/29/2015,No field interviews for 06/29/2015,No field interviews for 06/29/2015,No field interviews for 06/29/2015,No field interviews for 06/29/2015,No field interviews for 06/29/2015,No field interviews for 06/29/2015
2,No field interviews for 06/30/2015,No field interviews for 06/30/2015,No field interviews for 06/30/2015,No field interviews for 06/30/2015,No field interviews for 06/30/2015,No field interviews for 06/30/2015,No field interviews for 06/30/2015,No field interviews for 06/30/2015
3,No field interviews for 07/01/2015,No field interviews for 07/01/2015,No field interviews for 07/01/2015,No field interviews for 07/01/2015,No field interviews for 07/01/2015,No field interviews for 07/01/2015,No field interviews for 07/01/2015,No field interviews for 07/01/2015
4,No field interviews for 07/02/2015,No field interviews for 07/02/2015,No field interviews for 07/02/2015,No field interviews for 07/02/2015,No field interviews for 07/02/2015,No field interviews for 07/02/2015,No field interviews for 07/02/2015,No field interviews for 07/02/2015
0,7/3/2015 8:15 PM,6000 University,Citizen request for UCPD Response,African American,Male,"While walking past, subject inadvertently touched an Allied Barton officer",Juvenile subject was released to parent,No
1,No field interviews for 07/04/2015,No field interviews for 07/04/2015,No field interviews for 07/04/2015,No field interviews for 07/04/2015,No field interviews for 07/04/2015,No field interviews for 07/04/2015,No field interviews for 07/04/2015,No field interviews for 07/04/2015
2,7/5/2015 12:40 AM,5469 Everett,UCPD,African American,Male,Subject chased a female with a taser. Both parties were acquainted and joking around.,Name checked; no further action,No
3,7/5/2015 11:09 PM,5619 Dorchester,UCPD,African American,Male,Matched the description of offenders in a home invasion which had occurred approximately 10 minutes prior.,Name checked; released; no further action,No
4,7/5/2015 11:09 PM,5619 Dorchester,UCPD,African American,Male,Matched the description of offenders in a home invasion which had occurred approximately 10 minutes prior.,Name checked; released; no further action,No
0,7/5/2015 11:09 PM,5619 Dorchester,UCPD,African American,Male,Matched the description of offenders in a home invasion which had occurred approximately 10 minutes prior.,Name checked; released; no further action,No
1,7/5/2015 11:09 PM,5619 Dorchester,UCPD,African American,Male,Matched the description of offenders in a home invasion which had occurred approximately 10 minutes prior.,Name checked; released; no further action,No
2,7/5/2015 11:09 PM,5619 Dorchester,UCPD,African American,Male,Matched the description of offenders in a home invasion which had occurred approximately 10 minutes prior.,Name checked; released; no further action,No
3,7/5/2015 11:09 PM,5619 Dorchester,UCPD,African American,Male,Matched the description of offenders in a home invasion which had occurred approximately 10 minutes prior.,Name checked; released; no further action,No
4,No field interviews for 07/06/2015,No field interviews for 07/06/2015,No field interviews for 07/06/2015,No field interviews for 07/06/2015,No field interviews for 07/06/2015,No field interviews for 07/06/2015,No field interviews for 07/06/2015,No field interviews for 07/06/2015
0,No field interviews for 07/07/2015,No field interviews for 07/07/2015,No field interviews for 07/07/2015,No field interviews for 07/07/2015,No field interviews for 07/07/2015,No field interviews for 07/07/2015,No field interviews for 07/07/2015,No field interviews for 07/07/2015
1,No field interviews for 07/08/2015,No field interviews for 07/08/2015,No field interviews for 07/08/2015,No field interviews for 07/08/2015,No field interviews for 07/08/2015,No field interviews for 07/08/2015,No field interviews for 07/08/2015,No field interviews for 07/08/2015
2,No field interviews for 07/09/2015,No field interviews for 07/09/2015,No field interviews for 07/09/2015,No field interviews for 07/09/2015,No field interviews for 07/09/2015,No field interviews for 07/09/2015,No field interviews for 07/09/2015,No field interviews for 07/09/2015
3,No field interviews for 07/10/2015,No field interviews for 07/10/2015,No field interviews for 07/10/2015,No field interviews for 07/10/2015,No field interviews for 07/10/2015,No field interviews for 07/10/2015,No field interviews for 07/10/2015,No field interviews for 07/10/2015
4,7/11/2015 9:45 AM,1400 E 55th,Citizen request for UCPD Response,African American,Male,Suspicious Person,Name checked; released; no further action,No
0,7/12/2015 4:48 AM,901 E 58th,Citizen request for UCPD Response,African American,Male,Subject involved in verbal altercation,Name checked; released; no further action,No
1,7/12/2015 9:43 PM,1400 E 61st,UCPD,African American,Male,R/O observed subject engaged in sexual intercourse inside parked vehicle on public way,Name checked; verbal warning issued; released,No
2,7/12/2015 9:43 PM,1400 E 61st,UCPD,African American,Female,R/O observed subject engaged in sexual intercourse inside parked vehicle on public way,Name checked; verbal warning issued; released,No
3,7/14/2015 11:36 AM,5300 S KENWOOD,UCPD,Caucasian,Male,Open alcohol on public way,Name checked; verbal warning issued; released,No
4,7/14/2015 11:36 AM,5300 S KENWOOD,UCPD,African American,Male,Open alcohol on public way,Name checked; verbal warning issued; released,No
0,7/14/2015 13:59 PM,6106 S WOODLAWN/ALLEY,UCPD,African American,Male,Matched the description of a burglary offender,Name checked; verbal warning issued; released,No
1,7/15/2015 18:24 PM,6000 S DREXEL,Citizen request for UCPD Response,African American,Female,Subject making threats on the phone,Name checked; escort provided,No
2,7/16/2015 23:36 PM,6420 S UNIVERSITY,UCPD,African American,Male,R/O observed subject sleeping on property,Name checked; escort provided,No
3,No field interviews for 07/17/2015,No field interviews for 07/17/2015,No field interviews for 07/17/2015,No field interviews for 07/17/2015,No field interviews for 07/17/2015,No field interviews for 07/17/2015,No field interviews for 07/17/2015,No field interviews for 07/17/2015
4,No field interviews for 07/18/2015,No field interviews for 07/18/2015,No field interviews for 07/18/2015,No field interviews for 07/18/2015,No field interviews for 07/18/2015,No field interviews for 07/18/2015,No field interviews for 07/18/2015,No field interviews for 07/18/2015
0,No field interviews for 07/19/2015,No field interviews for 07/19/2015,No field interviews for 07/19/2015,No field interviews for 07/19/2015,No field interviews for 07/19/2015,No field interviews for 07/19/2015,No field interviews for 07/19/2015,No field interviews for 07/19/2015
1,7/21/2015 12:34 AM,5111 S DREXEL /REAR,UCPD,African American,Male,Suspicious persons sitting in the rear of the building,Name checked; released; no further action,No
2,7/21/2015 12:34 AM,5111 S DREXEL /REAR,UCPD,African American,Male,Suspicious persons sitting in the rear of the building,Name checked; released; no further action,No
3,7/22/2015 12:51 AM,901 E 58th Street,UCPD,African American,Female,Subject causing a disturbance with other patients,Warned; released,No
4,7/22/2015 19:05 PM,4900 S DORCHESTER,Citizen request for UCPD Response,African American,Male,UCPD responded to a call of a man selling narcotics. Units stopped subject and he volunteered to a consent to search,Name checked; released; no further action,Yes
0,7/22/2015 22:08 PM,5500 S WOODLAWN,Citizen request for UCPD Response,African American,Male,Anonymous citizen reported individual was exposing himself. UCPD units stopped subject matching description,Name checked; verbal warning issued; released,NO
