Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
4900 East End,BLACK / AFRICAN AMERICAN,MALE,Moving Violation � Other,Cell phone violation,,Verbal Warning,No,10/12/2018,5:50 PM
5900 Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way,,Verbal Warning,No,10/12/2018,6:54 PM
5500 University,HISPANIC,MALE,Traffic Sign/Signal,Traffic Light Violation,,Verbal Warning,No,10/12/2018,7:22 PM
5500 Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Traffic Light Violation,Three citations issued,Citation Issued,Yes,10/12/2018,8:22 PM
1000 Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Traffic Light Violation,Two Citations issued,Citation Issued,No,10/13/2018,12:29 AM
Midway Plaisance/Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,10/13/2018,9:11 AM
Midway Plaisance/ Maryland,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,Two Citations issued,Citation Issued,No,10/13/2018,9:43 AM
800 E. 55th St.,BLACK / AFRICAN AMERICAN,MALE,License Plate/Registration,Unlawful possession of reg. plate,,Verbal Warning,No,10/13/2018,1:42 PM
4500 Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Equipment,Tail light not working,,Verbal Warning,No,10/13/2018,6:38 PM
5100 Cornell,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper right turn,,Verbal Warning,No,10/13/2018,6:56 PM
5000 Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,10/13/2018,7:55 PM
4800 Kimbark,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal U-Turn,,Verbal Warning,No,10/13/2018,8:31 PM
5700 Kimbark,WHITE AMERICAN / CAUCASIAN,MALE,Equipment,Tail light not working,,Verbal Warning,No,10/13/2018,9:42 PM
5500 Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,10/13/2018,10:37 PM
5300 Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,10/13/2018,11:12 PM
5600 Everett,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,One Citation Issued,Citation Issued,No,10/13/2018,11:43 PM
5300 Cornell,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failed to stop at light,One Citation Issued,Citation Issued,No,10/13/2018,11:43 PM
5200 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,10/14/2018,9:48 AM
6000 S. Ingleside,ASIAN,MALE,Lane Violation,Wrong way on one way,,Verbal Warning,No,10/14/2018,1:19 PM
5400 S. Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,10/14/2018,2:20 PM
1455 E. 51st ST.,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Blocking roadway,,Verbal Warning,No,10/14/2018,2:24 PM
1623 E. 51st ST.,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,10/14/2018,4:28 PM
1515 E. 51st St,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,10/14/2018,4:48 PM
5400 Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to yield to a pedestrian,One Citation Issued,Citation Issued,No,10/14/2018,9:28 PM
4900 Drexel,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way,One Citation Issued,Citation Issued,No,10/14/2018,11:49 PM
5800 Cottage,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Traffic light violation,One Citation Issued,Citation Issued,No,10/15/2018,1:53 AM
6100 S. Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeying Traffic Control Device,,Verbal Warning,No,10/15/2018,10:43 AM
5500 S. Ingleside Avenue,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper Lane Usage,,Verbal Warning,No,10/15/2018,12:07 PM
5700 S. Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Stop Sign Violation,,Verbal Warning,No,10/15/2018,7:56 PM
5000 S. Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Equipment,No Headlights When Required,,Verbal Warning,No,10/15/2018,8:19 PM
5400 S. Lake Park,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Red Light Violation,,Verbal Warning,No,10/15/2018,9:39 PM
5500 S. University Avenue,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Failure to Yield to Pedestrian in Crosswalk,,Verbal Warning,No,10/16/2018,8:58 AM
5500 S. University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to Yield to Pedestrian in Crosswalk,,Verbal Warning,No,10/16/2018,2:55 PM
5500 S. University,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper Usage,,Verbal Warning,No,10/16/2018,4:52 PM
5400 S University,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong Way Down One Way Street,,Verbal Warning,No,10/17/2018,12:20 AM
6232 S. University,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Driving down one-way,,Verbal Warning,No,10/17/2018,9:31 AM
1422 E. 55th ST,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Disobey traffic control device,,Verbal Warning,No,10/17/2018,10:38 AM
1131 E. 57th St,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobey traffic control device,,Verbal Warning,No,10/17/2018,4:45 PM
1606 E. Hyde Park Blvd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobey traffic control device,,Verbal Warning,No,10/17/2018,5:28 PM
5000 Blackstone,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed stop sign,,Verbal Warning,No,10/17/2018,7:42 PM
5100 S Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,Operating without headlamps,,Verbal Warning,No,10/17/2018,9:51 PM
5300 S Hyde Park Blvd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed stop sign,,Verbal Warning,No,10/17/2018,11:35 PM
1506 E 53rd St,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed traffic light,,Verbal Warning,No,10/18/2018,9:34 PM
5500 S. Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper Turn,,Verbal Warning,No,10/19/2018,9:15AM
5500 S. University,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,,verbal Warning,No,10/19/2018,4:10 PM
5100 S. University,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No headlights when required,Two Citations issued,Citations Issued,No,10/19/2018,11:36 PM
824 S. 43rd Street,HISPANIC,MALE,Traffic sign/signal,Disobeyed traffic control device,One Citation Issued,Citation Issued,No,10/20/2018,12:53 PM
5500 S. Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,No,10/20/2018,8:29 PM
6200 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper Turn,,Verbal Warning,No,10/21/2018,3:35 PM
5015 S. Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,Two Citations issued,Citations Issued,No,10/21/2018,4:11 PM
5050 S. Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,Two Citations issued,Citations Issued,No,10/21/2018,4:50 PM
1500 E. 55th Street,HISPANIC,MALE,Lane Violation,Improper Turn,One Citation Issued,Citation Issued,No,10/22/2018,9:50 AM
5102 S. Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,Yes,10/22/2018,10:58 PM
5500 S. Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,10/22/2018,11:47 PM
5200 S. Lake Park,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,verbal Warning,No,10/23/2018,2:21 PM
5400 S. Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper Turn,,Verbal Warning,No,10/23/2018,3:05 PM
4132 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,10/24/2018,12:54 PM
1532 E. 53rd Street,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,10/24/2018,1:52 PM
5244 S. Kimbark,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Wrong way on one way street,Two Citations issued,Citations Issued,No,10/24/2018,6:50 PM
5400 S. Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,10/24/2018,10:10 PM
1350 E. 53rd Street,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper U-Turn,,Verbal Warning,No,10/25/2018,9:36 PM
1426 E. 55th ST.,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,10/26/2018,8:48 AM
5600 S. Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,10/26/2018,9:06 AM
5500 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Red Light,One Citation Issued,Citation Issued,No,10/26/2018,4:05 PM
5500 Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to yield to pedestrian,,Verbal Warning,No,10/26/2018,6:09 PM
1345 E. Park Place,BLACK / AFRICAN AMERICAN,MALE,License Plate/Registration,Expired Registration,One Citation Issued,Citation Issued,No,10/27/2018,3:09 AM
1130 Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,10/27/2018,9:14 AM
Midway Plaisance/Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,10/27/2018,9:29 AM
Midway Plaisance/Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,10/27/2018,9:48 AM
Midway Plaisance/Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,10/27/2018,10:03 AM
Midway Plaisance/Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,Four citations issued,Citation Issued,Yes,10/27/2018,10:22 AM
5300 Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Traffic Sign Violation,,Verbal Warning,No,10/27/2018,8:02 PM
5500 Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Traffic Sign Violation,,Verbal Warning,No,10/27/2018,11:30 PM
5500 Kimbark,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Illegal lane usage,,Verbal Warning,No,10/27/2018,11:33 PM
1155 E 54th,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Traffic Light Violation,,Verbal Warning,Yes,10/28/2018,8:34 PM
6000 Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Traffic Light Violation,,Verbal Warning,No,10/28/2018,9:51 PM
5900 S Blackstone,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,10/30/2018,11:33 AM
1346 E 53rd,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Improper backing,,Verbal Warning,No,10/30/2018,9:22 PM
5500 University,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Traffic Light Violation,,Verbal Warning,No,10/31/2018,10:18 PM
5100 Blackstone,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Traffic Sign,One Citation Issued,Citation Issued,No,11/1/2018,7:23 PM
5500 Greenwood,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal lane use,,Verbal Warning,No,11/1/2018,8:10 PM
5300 Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Traffic Sign,,Verbal Warning,No,11/1/2018,8:58 PM
5500 Lake Park,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal lane use,,Verbal Warning,No,11/1/2018,8:58 PM
5100 Blackstone,BLACK / AFRICAN AMERICAN,MALE,Moving Violation � Other,Failed to yield,,Verbal Warning,No,11/1/2018,9:51 PM
5500 S Harper,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,11/2/2018,13:30
5300 S Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Stop Sign Violation,One Citation Issued,Citation Issued,No,11/2/2018,11:51 PM
5500 S Hyde Park,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Disobeying Traffic Control Device,,Verbal Warning,No,11/3/2018,10:23 AM
5500 S Kenwood Ave,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,11/3/2018,12:22 PM
5432 S University,ASIAN,MALE,Lane Violation,Wrong way down one way,,Verbal Warning,No,11/3/2018,9:31 PM
5110 S University,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No Headlights When Required,Two Citations issued,Citation Issued,No,11/3/2018,11:12 PM
5300 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Stop Sign Violation,One Citation Issued,Citation Issued,No,11/4/2018,1:27 AM
5700 S Blackstone,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper Lane Usage,,Verbal Warning,No,11/4/2018,11:59 AM
5100 S Cornell,ASIAN,MALE,Equipment,No Headlights When Required,,Verbal Warning,No,11/4/2018,9:15 PM
5900 S Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way,,Verbal Warning,No,11/4/2018,11:59 PM
Midway Plaisance & Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/5/2018,5:53 AM
6300 S. University,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,11/5/2018,7:49 AM
1633 E. 55th Street,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/5/2018,8:54 AM
5600 S. Hyde Park Blvd,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/5/2018,2:26 PM
5536 S. Hyde Park Blvd,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/5/2018,4:29 PM
5336 S. Hyde Park Blvd,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/5/2018,6:29 PM
5500 S. Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,11/5/2018,8:14 PM
5555 S. Ellis,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,11/5/2018,8:47 PM
5300 S. Drexel,BLACK / AFRICAN AMERICAN,MALE,Equipment,No headlights when required,,Verbal Warning,No,11/5/2018,9:31 PM
5800 S. Dorchester,HISPANIC,FEMALE,Equipment,No headlights when required,,Verbal Warning,No,11/5/2018,9:34 PM
5700 S. Woodlawn,HISPANIC,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,11/5/2018,9:55 PM
6100 Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/6/2018,8:26 PM
5500 Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/6/2018,8:47 PM
5555 Ellis,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal lane usage,,Verbal Warning,Yes,11/7/2018,12:58 AM
6000 University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/7/2018,2:25 AM
1456 E 57th,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way,,Verbal Warning,No,11/8/2018,8:56 PM
6200 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Improper lane usage,Two Citations issued,Citation Issued,No,11/8/2018,10:04 AM
5000 S Blackstone,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way,,Verbal Warning,No,11/8/2018,9:38 PM
5300 S Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper turn,,Verbal Warning,No,11/8/2018,10:04 PM
5631 S Cottage Grove,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper turn,,Verbal Warning,No,11/9/2018,1:17 PM
5144 Cornell,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal lane usage,,Verbal Warning,No,11/9/2018,7:59 PM
5476 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal lane usage,,Verbal Warning,No,11/9/2018,8:31 PM
5800 Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on a one way,,Verbal Warning,No,11/9/2018,9:04 PM
5200 Drexel,BLACK / AFRICAN AMERICAN,MALE,Equipment,No headlights when required,,Verbal Warning,No,11/9/2018,9:11 PM
5200 University,ASIAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/9/2018,10:55 PM
1713 E. 55th St,HISPANIC,MALE,Traffic Sign/Signal,disobey traffic control device,,Verbal Warning,No,11/10/2018,10:14 AM
1658 E. 55TH ST,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,disobey traffic control device,,Verbal Warning,No,11/10/2018,5:01 PM
5710 Stony Island,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No break lights when required,,Verbal Warning,No,11/10/2018,8:37 PM
5000 Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,No U-turn Permitted,,Verbal Warning,No,11/10/2018,9:09 PM
5337 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/10/2018,10:10 PM
5600 Cottage,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way,,Verbal Warning,No,11/10/2018,10:25 PM
5300 Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failed to stop at light,,Verbal Warning,No,11/11/2018,3:26 AM
1217 E. 55th St,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,disobey redlight,,Verbal Warning,No,11/11/2018,8:31 AM
5900 S. Woodlawn,ASIAN,MALE,Speed,speeding (lidar),,Verbal Warning,No,11/11/2018,9:11 AM
5932 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Speed,speeding (lidar),,Verbal Warning,No,11/11/2018,9:25 AM
5900 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Speed,speeding (lidar),Two Citations issued,Verbal Warning,No,11/11/2018,9:37 AM
Midway Plaisance/Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Speed,speeding (lidar),Two Citations issued,Verbal Warning,No,11/11/2018,10:15 AM
5800 Dorchester,HISPANIC,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/11/2018,8:05 PM
6000 Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failed to stop at light,,Verbal Warning,No,11/11/2018,8:28 PM
1455 E 55th,ASIAN,FEMALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/11/2018,8:40 PM
5500 Ingleside,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Failed to use turn signal,,Verbal Warning,No,11/11/2018,8:53 PM
1200 Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/11/2018,9:43 PM
5300 Kenwood,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/11/2018,9:58 PM
1100E 56th,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/11/2018,10:56 PM
5600 Hyde Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at light,Three citations issued,Citation Issued,Yes,11/12/2018,12:39 AM
5600 S Cornell,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper Lane Usage,,Verbal Warning,No,11/12/2018,4:26 PM
5700 S. Maryland,ASIAN,FEMALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,11/14/2018,9:44 AM
1719 E. 55th St.,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Disobeyed Red Light,Two Citations issued,Citation Issued,No,11/14/2018,10:47 AM
5300 S. Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,11/14/2018,10:54 AM
1643 E 53rd,BLACK / AFRICAN AMERICAN,MALE,Moving Violation � Other,Cell phone violation,,Verbal Warning,No,11/14/2018,5:32 PM
6000 Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop for sign,,Verbal Warning,No,11/14/2018,11:17 PM
5554 S. Hyde Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Red Light,,Verbal Warning,No,11/15/2018,11:59 AM
1013 E. 61st ST.,BLACK / AFRICAN AMERICAN,MALE,Moving Violation � Other,Failure to yield,,Verbal Warning,No,11/15/2018,12:39 PM
Midway Plaisance/ Ellis,ASIAN,MALE,Traffic sign/signal,Disobey traffic control device,,Verbal Warning,No,11/15/2018,1:06 PM
1330 E. Midway Plaisance,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Improper lane usage,,Verbal Warning,No,11/15/2018,3:27 PM
5900 Payne,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at light,,Verbal Warning,No,11/15/2018,8:42 PM
6100 Cottage,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at light,Two Citations issued,Citation Issued,No,11/15/2018,8:55 PM
5541 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to yield to pedestrian,,Verbal Warning,No,11/15/2018,10:16 PM
5239 S Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/16/2018,4:56 PM
5700 S Stony Island,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red light violation,,Verbal Warning,No,11/16/2018,9:24 PM
5500 S Blackstone,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Stop Sign Violation,,Verbal Warning,No,11/17/2018,6:53 PM
5500 S Drexel,ASIAN,MALE,Traffic sign/signal,Disobeying Traffic Control Device,,Verbal Warning,No,11/18/2018,2:04 AM
5800 Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/19/2018,10:27 PM
5800 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No,11/20/2018,1:27 AM
950 E. 9th Street,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,11/21/2018,8:49 AM
5700 S. Woodlawn,ASIAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,11/21/2018,9:24 AM
5500 S. Cornell,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/21/2018,11:31 AM
5900 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/21/2018,4:34 PM
6400 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper Turn,,Verbal Warning,No,11/21/2018,4:53 PM
6100 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,11/21/2018,6:49 PM
"5624 S, Woodlawn",BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,11/21/2018,6:55 PM
5600 S. Cottage Grove,ASIAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,11/21/2018,8:08 PM
5500 S . Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Moving Violation - Other,Cell phone violation,,Verbal Warning,No,11/21/2018,9:13 PM
5500 S. University,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,11/21/2018,10:12 PM
1525 E. 53rd Street,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,11/22/2018,12:23 AM
5500 S. Ingleside,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No Turn Signal,,Verbal Warning,No,11/22/2018,12:26 AM
5500 S. Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,11/23/2018,1:11 AM
4850 S. Lake Park,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,11/23/2018,6:39 AM
5600 S. Hyde Park Blvd,BLACK / AFRICAN AMERICAN,FEMALE,Moving Violation - Other,Cell phone violation,,Verbal Warning,No,11/23/2018,11:53 AM
5300 S. Lake Park,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,11/23/2018,1:49 PM
1648 E. 53rd Street,WHITE AMERICAN / CAUCASIAN,MALE,Moving Violation - Other,Cell phone violation,,Verbal Warning,No,11/23/2018,2:07 PM
5700 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,11/23/2018,2:28 PM
1615 E. 56th Street,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,Three citations issued,Citation Issued,No,11/23/2018,4:15 PM
5700 S. Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,11/23/2018,10:23 PM
1624 E. 54th Street,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,11/24/2018,9:54 AM
1257 E. Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,11/24/2018,11:21 AM
