Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
1130 E 56TH,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,11/29/2015,11:18 AM
Midway & Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,11/29/2015,5:07 PM
5700 S Cornell,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal (almost caused accident),,Verbal Warning,No,12/2/2015,2:23 PM
5500 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,12/5/2015,2:32 PM
5000 S Blackstone,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,12/7/2015,5:54 PM
5300 S Harper,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,12/10/2015,7:09 PM
5300 Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Failure to yield (almost caused accident),,Verbal Warning,No,12/14/2015,9:44 PM
Midway & University,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,12/24/2015,2:31 AM
5630 S University,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,12/26/2015,5:06 PM
1100 E 57th,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,1/9/2016,10:34 AM
5800 S. Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Driving on crosswalk,,Verbal Warning,No,1/12/2016`,4:16 PM
5700 S. University,ASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,1/14/2016,10:28 AM
6100 S. University,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper passing/overtaking,,Verbal Warning,No,1/14/2016,8:14 PM
6000 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at intersection with pedestrians in area,Citation issued for disobeying stop sign,Citation Issued,No,1/21/2016,8:49 PM
5626 S Blackstone,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Running stop sign and speeding,,Verbal Warning,No,1/22/2016,7:32 PM
5500 Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,1/26/2016,10:42 PM
5100 Drexel Ave,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,1/30/2016,2:41 AM
5950 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,2/5/2016,6:16 PM
6200 S Stony Island,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,2/5/2016,9:25 PM
5730 S University,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,2/7/2016,1:32 PM
1236 E 53rd,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Unauthorized use of parking places reserved for persons with disability,Citation issued for unauthorized use of parking places reserved for persons with disability,Citation Issued,No,2/7/2016,5:48 PM
5300 S Hyde Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,2/10/2016,5:05 PM
5700 S Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Moving Violation - Other,Driving with someone on the hood of the vehicle,,Verbal Warning,No,2/13/2016,1:38 PM
5400 Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,2/13/2016,8:16 PM
6000 Cottage Grove,ASIAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,2/14/2016,12:53 AM
"5200 S, Blac kstone",BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,2/19/2016,9:59 PM
5300 S. Ingleside,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,Citation issued for improper passing/overtaking,Citation Issued,No,2/20/2016,12:49 AM
5700 S. Woodalwn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,2/21/2016,1:38 PM
5500 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper passing/overtaking,,Verbal Warning,No,2/21/2016,1:42 PM
6100 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,2/25/2016,5:17 PM
5300 Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,2 citations issued for disobeying traffic sign and no valid insurance,Citation Issued,No,2/27/2016,12:27 AM
5300 S Woodlawn,HISPANIC,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,2/29/2016,2:31 PM
5300 Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,3/3/2016,12:23 AM
5900 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,3/8/2016,11:55 PM
6100 S Ingleside,HISPANIC,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,3/10/2016,9:12 AM
5300 Harper,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,3/13/2016,3:09 AM
5700 S Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,3/13/2016,5:50 AM
4800 S Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,3/15/2016,6:03 PM
4700 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper turn,,Verbal Warning,No,3/19/2016,9:49 PM
6100 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,3/23/2016,8:42 PM
1151 E 51st,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Two citations issued for failure to yield and no valid registration,Citation Issued,No,3/24/2016,8:38 AM
5040 S Blackstone,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Turning right in front of CTA bus,,Verbal Warning,No,3/24/2016,8:40 AM
5400 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Turning without signaling (cutting off vehicle in other lane),Two citations issued for lane violation and tail light violation,Citation Issued,No,3/24/2016,10:37 AM
6300 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal left turn,,Verbal Warning,No,3/25/2016,9:41 PM
Kenwood & Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,3/26/2016,9:58 AM
6400 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper turn,,Verbal Warning,No,3/26/2016,7:07 PM
5700 S Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Moving Violation - Other,Improper parking on roadway,"Three citations issued for suspended license, no insurance, and no registration",Citation Issued,No,3/28/2016,5:10 AM
1219 E 63rd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,3/28/2016,2:21 PM
